Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
PersonaChat,426,2,39,9.15492957746479,193.5,-0.010271736420691013,32,76,dense,200,0.03,6,3,0.5,,32,separate
SyntheticPersonaChat,475,2,65,13.684210526315791,205.0,-0.012478707358241081,32,76,dense,200,0.03,6,3,0.5,,32,separate
MSC,718,12,434,60.44568245125348,23.666666666666668,0.11058160662651062,32,76,dense,200,0.03,6,3,0.5,,32,separate
PEC,11258,2,4119,36.587315686622844,3569.5,0.0028493357822299004,32,76,dense,200,0.03,6,3,0.5,,32,separate
FoCus,495,14,316,63.83838383838384,12.785714285714286,0.10764136165380478,32,76,dense,200,0.03,6,3,0.5,,32,separate
MPChat,1462,2,691,47.264021887824896,385.5,0.018908850848674774,32,76,dense,200,0.03,6,3,0.5,,32,separate
PER-CHAT,8359,63,6419,76.79148223471707,30.793650793650794,0.10122860968112946,32,76,dense,200,0.03,6,3,0.5,,32,separate
PersonaChat,692,41,203,29.335260115606935,11.926829268292684,0.265995172533395,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
SyntheticPersonaChat,759,41,219,28.85375494071146,13.170731707317072,0.2798262778058765,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
MSC,1245,47,412,33.092369477911646,17.72340425531915,0.21687780966551992,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PEC,20479,416,8219,40.13379559548806,29.471153846153847,0.14155557898156973,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
FoCus,813,47,161,19.803198031980322,13.872340425531915,0.3816001702666428,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
MPChat,2597,92,982,37.81286099345398,17.554347826086957,0.2720240871040291,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PER-CHAT,15536,339,8699,55.99253347064882,20.168141592920353,0.2962801695598601,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PersonaChat,981,2,363,37.00305810397553,309.0,0.649000626724835,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
SyntheticPersonaChat,1045,2,336,32.15311004784689,354.5,0.6750072195913545,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
MSC,1898,4,631,33.24552160168599,316.75,0.5897468586287743,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PEC,33064,38,12466,37.70263730946044,542.0526315789474,0.5259361111237651,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
FoCus,1270,5,365,28.74015748031496,181.0,0.5263986485225677,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
MPChat,4177,12,1356,32.46349054345224,235.08333333333334,0.6732721998345765,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PER-CHAT,26941,22,13559,50.32849560149957,608.2727272727273,0.5642672034041211,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PersonaChat,981,36,390,39.75535168195719,16.416666666666668,0.5832579889154655,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
SyntheticPersonaChat,1045,35,418,40.0,17.914285714285715,0.6228232792861125,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
MSC,1898,42,927,48.840885142255004,23.11904761904762,0.4970991461721731,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PEC,33064,535,19874,60.107669973384944,24.654205607476637,0.4424920051646102,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
FoCus,1270,48,403,31.73228346456693,18.0625,0.7321517184361112,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
MPChat,4177,75,2153,51.54417045726598,26.986666666666668,0.42592538974392313,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PER-CHAT,26941,330,15519,57.603652425670916,34.61212121212121,0.3579674022588611,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PersonaChat,426,24,179,42.01877934272301,10.291666666666666,0.16359105706214905,16,80,dense,200,0.01,5,2,0.5,,16,separate
SyntheticPersonaChat,475,23,222,46.73684210526316,11.0,0.17483378946781158,16,80,dense,200,0.01,5,2,0.5,,16,separate
MSC,718,26,333,46.37883008356546,14.807692307692308,0.12155521661043167,16,80,dense,200,0.01,5,2,0.5,,16,separate
PEC,11258,331,8045,71.46029490140344,9.706948640483384,0.06806127727031708,16,80,dense,200,0.01,5,2,0.5,,16,separate
FoCus,495,21,253,51.11111111111111,11.523809523809524,0.1742965430021286,16,80,dense,200,0.01,5,2,0.5,,16,separate
MPChat,1462,2,49,3.3515731874145005,706.5,0.02539578080177307,16,80,dense,200,0.01,5,2,0.5,,16,separate
PER-CHAT,8359,207,5700,68.18997487737768,12.845410628019323,0.09824021905660629,16,80,dense,200,0.01,5,2,0.5,,16,separate
PersonaChat,786,6,501,63.74045801526718,47.5,0.6159537153384176,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
SyntheticPersonaChat,864,6,529,61.22685185185185,55.833333333333336,0.654295903827203,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
MSC,1455,11,843,57.938144329896915,55.63636363636363,0.4265066053523624,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
PEC,24320,90,11616,47.76315789473684,141.15555555555557,0.5376571618375239,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
FoCus,950,10,472,49.684210526315795,47.8,0.6697385702642131,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
MPChat,3015,19,1306,43.3167495854063,89.94736842105263,0.5803785679330398,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
PER-CHAT,19148,44,11373,59.39523710048047,176.70454545454547,0.5377856497065677,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
PersonaChat,692,11,504,72.83236994219652,17.09090909090909,0.22810741009331728,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
SyntheticPersonaChat,759,9,615,81.02766798418972,16.0,0.29217994393296026,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
MSC,1245,10,981,78.79518072289157,26.4,0.14559355561353432,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
PEC,20479,2,13502,65.93095365984667,3488.5,-0.03469717697124579,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
FoCus,813,9,598,73.55473554735548,23.88888888888889,0.1994671309469981,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
MPChat,2597,11,2153,82.90335001925298,40.36363636363637,0.2014222591830335,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
PER-CHAT,15536,29,14058,90.48661174047375,50.96551724137931,0.2100554092291634,16,82,hybrid,400,0.02,8,5,0.7,0.3,16,separate
PersonaChat,692,2,553,79.91329479768787,69.5,0.17017102241516113,32,83,dense,400,0.05,20,20,1.0,,32,separate
SyntheticPersonaChat,759,2,633,83.399209486166,63.0,0.2534119486808777,32,83,dense,400,0.05,20,20,1.0,,32,separate
MSC,1245,3,1040,83.53413654618474,68.33333333333333,0.22070187330245972,32,83,dense,400,0.05,20,20,1.0,,32,separate
PEC,20479,2,19064,93.090482933737,707.5,0.10673379898071289,32,83,dense,400,0.05,20,20,1.0,,32,separate
FoCus,813,2,654,80.44280442804428,79.5,0.18949131667613983,32,83,dense,400,0.05,20,20,1.0,,32,separate
MPChat,2597,4,2237,86.13785136696188,90.0,0.2254364788532257,32,83,dense,400,0.05,20,20,1.0,,32,separate
PER-CHAT,15536,5,13323,85.75566426364573,442.6,0.29893916845321655,32,83,dense,400,0.05,20,20,1.0,,32,separate
PersonaChat,692,2,134,19.36416184971098,279.0,0.48474459275684917,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
SyntheticPersonaChat,759,4,113,14.888010540184455,161.5,0.5931142912334862,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
MSC,1245,3,372,29.87951807228916,291.0,0.5221446481902704,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
PEC,20479,53,7479,36.52033790712437,245.28301886792454,0.4899888270409473,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
FoCus,813,6,173,21.27921279212792,106.66666666666667,0.42113225420333755,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
MPChat,2597,16,682,26.26107046592222,119.6875,0.6256775658343083,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
PER-CHAT,15536,29,8113,52.220648815653966,255.9655172413793,0.547839766287533,16,84,tfidf,400,0.1,40,20,0.5,,16,separate
PersonaChat,786,8,455,57.88804071246819,41.375,0.5703283569626035,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
SyntheticPersonaChat,864,7,507,58.68055555555556,51.0,0.6560825123063443,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
MSC,1455,13,919,63.161512027491405,41.23076923076923,0.5607664125346115,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
PEC,24320,105,12358,50.8141447368421,113.92380952380952,0.5256173352158284,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
FoCus,950,16,392,41.26315789473684,34.875,0.7311602793749288,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
MPChat,3015,21,1325,43.946932006633496,80.47619047619048,0.5369946698926106,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
PER-CHAT,19148,52,10870,56.76833089617715,159.19230769230768,0.5144299592632644,16,85,tfidf,500,0.04,20,20,1.0,,16,separate
PersonaChat,786,14,551,70.10178117048346,16.785714285714285,0.18851906061172485,16,86,dense,500,0.01,5,5,1.0,,16,separate
SyntheticPersonaChat,864,13,634,73.37962962962963,17.692307692307693,0.2425549328327179,16,86,dense,500,0.01,5,5,1.0,,16,separate
MSC,1455,2,462,31.752577319587626,496.5,0.02570231258869171,16,86,dense,500,0.01,5,5,1.0,,16,separate
PEC,24320,2,12087,49.69983552631579,6116.5,-0.037843264639377594,16,86,dense,500,0.01,5,5,1.0,,16,separate
FoCus,950,14,599,63.05263157894737,25.071428571428573,0.22537334263324738,16,86,dense,500,0.01,5,5,1.0,,16,separate
MPChat,3015,12,2518,83.51575456053068,41.416666666666664,0.17745673656463623,16,86,dense,500,0.01,5,5,1.0,,16,separate
PER-CHAT,19148,66,15947,83.28284938374765,48.5,0.16572770476341248,16,86,dense,500,0.01,5,5,1.0,,16,separate
PersonaChat,426,2,290,68.07511737089203,68.0,0.38907545971429025,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
SyntheticPersonaChat,475,3,310,65.26315789473685,55.0,0.5700018020302436,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
MSC,718,3,458,63.788300835654596,86.66666666666667,0.15645267414708033,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
PEC,11258,78,4246,37.7154023805294,89.8974358974359,0.29895204525219915,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
FoCus,495,5,298,60.2020202020202,39.4,0.49907205458417603,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
MPChat,1462,13,1013,69.28864569083447,34.53846153846154,0.16731453050443326,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
PER-CHAT,8359,47,5159,61.71790884077043,68.08510638297872,0.35244770887078714,48,87,hybrid,200,0.1,20,14,0.7,0.9,48,separate
PersonaChat,786,5,611,77.735368956743,35.0,0.28762149810791016,16,88,dense,500,0.03,15,7,0.5,,16,separate
SyntheticPersonaChat,864,4,678,78.47222222222221,46.5,0.23626893758773804,16,88,dense,500,0.03,15,7,0.5,,16,separate
MSC,1455,4,1145,78.69415807560138,77.5,0.14628472924232483,16,88,dense,500,0.03,15,7,0.5,,16,separate
PEC,24320,14,23105,95.00411184210526,86.78571428571429,0.22550641000270844,16,88,dense,500,0.03,15,7,0.5,,16,separate
FoCus,950,6,618,65.05263157894737,55.333333333333336,0.25083696842193604,16,88,dense,500,0.03,15,7,0.5,,16,separate
MPChat,3015,5,2583,85.67164179104478,86.4,0.26934510469436646,16,88,dense,500,0.03,15,7,0.5,,16,separate
PER-CHAT,19148,10,16375,85.51806977229998,277.3,0.31012091040611267,16,88,dense,500,0.03,15,7,0.5,,16,separate
PersonaChat,426,12,180,42.25352112676056,20.5,0.3964774841062605,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
SyntheticPersonaChat,475,10,161,33.89473684210526,31.4,0.007878673707979627,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
MSC,718,16,246,34.26183844011142,29.5,0.3477129173472775,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
PEC,11258,174,5765,51.208029845443235,31.56896551724138,0.4591378429326099,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
FoCus,495,11,204,41.21212121212121,26.454545454545453,0.411565076886562,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
MPChat,1462,45,602,41.17647058823529,19.11111111111111,0.2641515374728862,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
PER-CHAT,8359,61,4936,59.05012561311162,56.114754098360656,0.4744319821328958,48,89,tfidf,200,0.05,10,5,0.5,,48,separate
PersonaChat,574,21,125,21.777003484320556,21.38095238095238,0.3631079588908584,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
SyntheticPersonaChat,631,19,194,30.744849445324878,23.0,0.4122741971933307,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
MSC,976,32,392,40.16393442622951,18.25,0.4155647193213888,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
PEC,15829,256,8837,55.82791079663908,27.3125,0.5087516986369469,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
FoCus,676,23,137,20.266272189349113,23.434782608695652,0.47731879832806967,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
MPChat,1903,44,735,38.62322648449816,26.545454545454547,0.3532278110741911,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
PER-CHAT,12212,123,6229,51.00720602685883,48.642276422764226,0.42935021179432004,32,90,tfidf,300,0.03,9,4,0.5,,32,separate
PersonaChat,574,28,138,24.041811846689896,15.571428571428571,0.4939227101120249,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
SyntheticPersonaChat,631,26,183,29.00158478605388,17.23076923076923,0.48965384774076803,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
MSC,976,33,409,41.90573770491803,17.181818181818183,0.45389528337332957,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
PEC,15829,349,9185,58.02640722724114,19.03724928366762,0.5441337608108276,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
FoCus,676,30,200,29.585798816568047,15.866666666666667,0.661103972854537,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
MPChat,1903,53,737,38.72832369942196,22.0,0.3945875676189499,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
PER-CHAT,12212,148,7281,59.62168358991157,33.317567567567565,0.47196775575219735,32,91,tfidf,300,0.02,6,6,1.0,,32,separate
PersonaChat,981,2,818,83.38430173292558,81.5,0.14395064115524292,48,92,dense,750,0.03,22,15,0.7,,48,separate
SyntheticPersonaChat,1045,2,868,83.0622009569378,88.5,0.16739001870155334,48,92,dense,750,0.03,22,15,0.7,,48,separate
MSC,1898,2,1688,88.93572181243414,105.0,0.1568627655506134,48,92,dense,750,0.03,22,15,0.7,,48,separate
PEC,33064,4,31700,95.87466731187999,341.0,0.07083754986524582,48,92,dense,750,0.03,22,15,0.7,,48,separate
FoCus,1270,3,1125,88.58267716535433,48.333333333333336,0.1759016364812851,48,92,dense,750,0.03,22,15,0.7,,48,separate
MPChat,4177,5,3865,92.53052429973665,62.4,0.21046985685825348,48,92,dense,750,0.03,22,15,0.7,,48,separate
PER-CHAT,26941,8,24185,89.77023866968561,344.5,0.2427295595407486,48,92,dense,750,0.03,22,15,0.7,,48,separate
PersonaChat,574,2,308,53.65853658536586,133.0,0.4660914803473841,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
SyntheticPersonaChat,631,3,356,56.418383518225035,91.66666666666667,0.7426629963917929,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
MSC,976,4,487,49.89754098360656,122.25,0.5745530768988237,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
PEC,15829,67,5613,35.46023122117632,152.47761194029852,0.5019062040107463,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
FoCus,676,4,315,46.59763313609467,90.25,0.4599519368339358,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
MPChat,1903,7,1181,62.059905412506566,103.14285714285714,0.5318021014651991,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
PER-CHAT,12212,33,6983,57.181460858172294,158.45454545454547,0.5808490910921834,32,93,tfidf,300,0.1,30,30,1.0,,32,separate
PersonaChat,426,2,309,72.53521126760563,58.5,0.14357820635950228,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
SyntheticPersonaChat,475,3,350,73.68421052631578,41.666666666666664,0.20729897860761398,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
MSC,718,3,562,78.27298050139275,52.0,0.15246702953203517,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
PEC,11258,17,8905,79.09930715935334,138.41176470588235,0.39626339290384804,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
FoCus,495,2,314,63.43434343434343,90.5,0.08123137793234031,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
MPChat,1462,5,1200,82.07934336525308,52.4,0.2021167698077718,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
PER-CHAT,8359,18,7327,87.65402560114846,57.333333333333336,0.25699592636680607,16,94,hybrid,200,0.1,20,14,0.7,0.5,16,separate
PersonaChat,981,2,873,88.9908256880734,54.0,0.21194869905531608,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
SyntheticPersonaChat,1045,2,922,88.22966507177034,61.5,0.28893429321158676,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
MSC,1898,5,1475,77.71338250790305,84.6,0.07947224436604418,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
PEC,33064,58,18059,54.618315993225266,258.7068965517241,0.31071179004027977,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
FoCus,1270,4,943,74.25196850393701,81.75,0.2154646145525585,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
MPChat,4177,21,2954,70.72061288005746,58.23809523809524,0.22943855222009063,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
PER-CHAT,26941,49,20450,75.90661074199177,132.46938775510205,0.30035080822518245,48,95,hybrid,750,0.05,37,25,0.7,0.7,48,separate
PersonaChat,574,7,329,57.3170731707317,35.0,0.6703345269543964,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
SyntheticPersonaChat,631,7,358,56.735340729001585,39.0,0.6633521436650397,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
MSC,976,11,550,56.35245901639344,38.72727272727273,0.46555421009345,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
PEC,15829,102,9964,62.94775412218081,57.5,0.5316068914718397,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
FoCus,676,14,269,39.79289940828402,29.071428571428573,0.6819062028026662,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
MPChat,1903,21,744,39.096163951655285,55.19047619047619,0.5375574622799575,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
PER-CHAT,12212,49,6175,50.56501801506714,123.20408163265306,0.513080060378897,16,96,tfidf,300,0.05,15,15,1.0,,16,separate
PersonaChat,692,6,400,57.80346820809249,48.666666666666664,0.5891349639555447,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
SyntheticPersonaChat,759,6,406,53.49143610013175,58.833333333333336,0.5119565521688897,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
MSC,1245,11,646,51.88755020080321,54.45454545454545,0.5149731840549204,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
PEC,20479,147,8128,39.68943796083793,84.0204081632653,0.4946115261281901,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
FoCus,813,9,384,47.23247232472325,47.666666666666664,0.46561367855368274,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
MPChat,2597,32,1391,53.5618020793223,37.6875,0.3697670872630774,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
PER-CHAT,15536,54,9948,64.03192584963955,103.48148148148148,0.5458806479588197,48,97,tfidf,400,0.04,16,16,1.0,,48,separate
PersonaChat,981,10,783,79.81651376146789,19.8,0.1692807376384735,48,98,dense,750,0.01,7,7,1.0,,48,separate
SyntheticPersonaChat,1045,9,856,81.91387559808612,21.0,0.17684423923492432,48,98,dense,750,0.01,7,7,1.0,,48,separate
MSC,1898,11,1629,85.82718651211802,24.454545454545453,0.18892478942871094,48,98,dense,750,0.01,7,7,1.0,,48,separate
PEC,33064,2,27434,82.97241713041375,2815.0,0.012109496630728245,48,98,dense,750,0.01,7,7,1.0,,48,separate
FoCus,1270,8,1059,83.38582677165356,26.375,0.16039413213729858,48,98,dense,750,0.01,7,7,1.0,,48,separate
MPChat,4177,12,3835,91.81230548240364,28.5,0.16839684545993805,48,98,dense,750,0.01,7,7,1.0,,48,separate
PER-CHAT,26941,17,23881,88.6418469989978,180.0,0.2123769372701645,48,98,dense,750,0.01,7,7,1.0,,48,separate
PersonaChat,426,5,310,72.76995305164318,23.2,0.21566762542135784,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
SyntheticPersonaChat,475,4,339,71.36842105263158,34.0,0.21639159471336658,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
MSC,718,9,537,74.79108635097494,20.11111111111111,0.2699742298519258,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
PEC,11258,21,8739,77.62480014212116,119.95238095238095,0.2666140995564881,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
FoCus,495,8,320,64.64646464646465,21.875,0.31301734200207765,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
MPChat,1462,15,1136,77.70177838577291,21.733333333333334,0.33944775956987167,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
PER-CHAT,8359,20,7338,87.78562028950832,51.05,0.26066383630087664,16,99,hybrid,200,0.05,10,10,1.0,0.5,16,separate
PersonaChat,786,19,301,38.295165394402034,25.526315789473685,0.4868732705698425,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
SyntheticPersonaChat,864,17,433,50.11574074074075,25.352941176470587,0.6962409585755267,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
MSC,1455,27,769,52.85223367697595,25.40740740740741,0.5431659548054674,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
PEC,24320,242,15644,64.32565789473685,35.85123966942149,0.52637699669202,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
FoCus,950,24,298,31.36842105263158,27.166666666666668,0.6789464748035489,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
MPChat,3015,35,1646,54.59369817578773,39.114285714285714,0.41577953622103586,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
PER-CHAT,19148,133,9838,51.37873407144349,70.0,0.41017334651311077,16,100,tfidf,500,0.02,10,7,0.7,,16,separate
